"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Edmonton, Alberta","2011S0503835","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822816","148.3.1","881","","","","0"
"2021","Edmonton, Alberta","2011S0503835","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822816","148.3.1","879","","","","0"
"2022","Edmonton, Alberta","2011S0503835","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822816","148.3.1","904","","","","0"
"2023","Edmonton, Alberta","2011S0503835","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822816","148.3.1","948","","","","0"
"2024","Edmonton, Alberta","2011S0503835","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822816","148.3.1","1050","","","","0"
"2020","Edmonton, Alberta","2011S0503835","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823352","148.2.1","854","","","","0"
"2021","Edmonton, Alberta","2011S0503835","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823352","148.2.1","826","","","","0"
"2022","Edmonton, Alberta","2011S0503835","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823352","148.2.1","868","","","","0"
"2023","Edmonton, Alberta","2011S0503835","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823352","148.2.1","912","","","","0"
"2024","Edmonton, Alberta","2011S0503835","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823352","148.2.1","","F","","","0"
"2020","Edmonton, Alberta","2011S0503835","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823888","148.1.1","881","","","","0"
"2021","Edmonton, Alberta","2011S0503835","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823888","148.1.1","879","","","","0"
"2022","Edmonton, Alberta","2011S0503835","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823888","148.1.1","904","","","","0"
"2023","Edmonton, Alberta","2011S0503835","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823888","148.1.1","948","","","","0"
"2024","Edmonton, Alberta","2011S0503835","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823888","148.1.1","1050","","","","0"
"2020","Edmonton, Alberta","2011S0503835","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824424","148.4.1","881","","","","0"
"2021","Edmonton, Alberta","2011S0503835","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824424","148.4.1","880","","","","0"
"2022","Edmonton, Alberta","2011S0503835","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824424","148.4.1","904","","","","0"
"2023","Edmonton, Alberta","2011S0503835","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824424","148.4.1","948","","","","0"
"2024","Edmonton, Alberta","2011S0503835","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824424","148.4.1","1050","","","","0"


